
UK Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2017 and Winter 2017.  Last updated 03/07/2017.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
     9.0  1916     9.8  1998    12.1  2012    15.7  2011    16.9  1992    20.6  1940    23.2  2006    22.7  1995    19.2  2006    15.6  1921    11.7  2011    10.7  2015    8.61  1989   13.54  2011   20.96  1976   14.84  2006   13.54  2014
     8.7  2007     8.9  2008    11.9  1938    15.2  2007    16.8  2017    19.9  1976    22.2  1983    22.7  1947    18.8  1959    15.4  1959    11.3  1994     9.1  1988    8.38  2016   13.35  2007   20.58  1995   14.57  2011   13.48  2003
     8.6  1989     8.9  1945    11.8  1948    13.6  2003    16.8  2008    19.7  1970    22.1  2013    21.6  1997    18.8  1949    15.2  1969    11.0  2015     9.0  1974    8.34  2007   13.29  2017   20.47  2006   14.49  1959   13.38  2006
     8.5  1932     8.8  1990    11.2  2003    13.5  1914    16.8  1919    19.4  2006    21.6  1976    21.5  1975    18.5  1929    15.1  1995    10.6  1938     8.9  2016    8.16  1998   13.20  2003   20.25  2003   14.28  2014   13.34  2011
     8.4  1921     8.6  2002    11.2  1961    13.3  2009    16.4  1990    19.3  1960    21.5  1934    21.4  1976    18.3  2016    15.0  2001    10.5  2006     8.9  1934    8.11  2008   13.08  1945   20.19  1933   13.85  1949   13.26  2007
     8.2  1990     8.6  1961    11.2  1957    13.3  1943    16.4  1911    19.1  2010    21.5  1921    21.3  2003    18.3  1933    14.9  2006    10.4  2014     8.7  2013    8.05  1975   13.07  1948   20.19  1911   13.81  2005   13.22  1921
     8.1  2008     8.6  1914    11.1  1929    13.2  2014    16.3  2001    19.1  2003    21.4  1995    21.2  1955    18.2  2014    14.6  2005    10.4  2003     8.6  1921    7.98  2014   12.96  2014   20.02  1947   13.70  1995   13.21  1959
     8.1  2005     8.4  1997    11.0  1945    13.2  1946    16.3  1989    19.1  1992    21.4  1989    21.2  1911    18.2  1999    14.5  2011    10.3  1997     8.5  1953    7.85  2017   12.86  1990   19.91  1983   13.66  1999   13.21  1949
     8.1  1983     8.3  1949    10.9  2017    13.1  1945    16.3  1959    19.1  1950    21.4  1911    20.6  1984    17.9  2003    14.4  1945    10.3  1978     8.4  1971    7.77  1990   12.84  2009   19.91  1975   13.60  2009   13.09  1997
     8.1  1975     8.3  1943    10.7  1997    12.9  2015    16.3  1940    19.0  1957    21.3  1955    20.6  1983    17.8  2005    14.3  2014    10.2  1913     8.4  1942    7.74  1949   12.78  1943   19.73  2013   13.59  2015   13.08  1990
     7.9  2002     8.2  1920    10.6  1990    12.9  1987    16.2  1960    19.0  1933    21.2  2014    20.6  1933    17.7  1991    14.1  2013    10.1  2002     8.4  1924    7.70  1943   12.61  1959   19.73  1955   13.58  2001   13.05  2005
     7.9  1974     8.1  2011    10.6  1933    12.9  1944    16.2  1952    18.6  2014    20.9  1933    20.5  1990    17.6  1971    14.1  1971    10.1  1953     8.3  1994    7.62  1935   12.60  1997   19.56  1949   13.51  1945   13.04  1989
     7.9  1944     8.1  2007    10.5  2014    12.8  1952    16.2  1947    18.6  1949    20.7  1994    20.2  1959    17.6  1947    14.0  1978    10.1  1939     8.2  2006    7.57  2002   12.52  1952   19.55  1989   13.46  2003   13.00  2004
     7.8  1993     8.1  2000    10.3  1950    12.7  2010    16.1  1918    18.6  1930    20.5  1999    20.1  1991    17.5  2011    14.0  1949    10.0  2009     8.2  1918    7.56  1995   12.48  2002   19.52  1959   13.46  1947   12.99  1995
     7.7  1923     8.1  1989    10.1  2007    12.7  1955    15.9  1998    18.5  2005    20.4  2003    20.0  2004    17.5  1958    13.9  2007    10.0  2001     8.2  1912    7.55  2005   12.45  2012   19.46  1984   13.45  2007   12.98  2002
     7.5  2012     8.1  1926    10.1  2002    12.7  1949    15.8  2016    18.5  1925    20.4  1949    20.0  1944    17.5  1941    13.9  1968    10.0  1951     8.1  1954    7.45  2012   12.45  1961   19.35  1934   13.45  1978   12.96  2016
     7.5  1957     8.0  1928    10.0  1991    12.6  2002    15.8  1964    18.4  2017    20.3  1984    20.0  1935    17.4  1961    13.8  2009     9.9  2007     8.0  2004    7.44  1999   12.44  1933   19.33  1997   13.43  1971   12.96  1999
     7.4  2014     8.0  1918     9.9  2009    12.6  1912    15.8  1922    18.4  2009    20.3  1935    19.9  1937    17.4  1934    13.8  1977     9.9  1986     8.0  1998    7.44  1925   12.40  2004   19.28  1935   13.43  1921   12.93  2015
     7.4  1949     7.9  2017     9.9  2000    12.5  1942    15.7  2004    18.3  1975    20.1  1990    19.8  2013    17.3  2002    13.8  1947     9.8  1995     7.9  1983    7.40  1974   12.40  1999   19.26  2014   13.34  1997   12.85  1945
     7.4  1938     7.9  1995     9.9  1998    12.3  2004    15.7  1953    18.3  1934    20.1  1959    19.7  2016    17.3  1921    13.7  2015     9.7  2004     7.8  1997    7.38  1932   12.37  1992   19.12  1921   13.33  1913   12.82  2009
     7.3  2016     7.9  1992     9.9  1943    12.2  2017    15.7  1917    18.2  2004    20.1  1941    19.7  2002    17.3  1911    13.7  1996     9.7  1999     7.7  2011    7.36  1957   12.37  1938   19.07  2005   13.26  2016   12.68  1911
     7.2  2000     7.8  2014     9.8  2011    12.2  1999    15.5  1999    18.2  1959    20.0  1991    19.6  2000    17.2  2004    13.7  1989     9.7  1948     7.7  1985    7.28  1920   12.31  1957   18.99  2009   13.23  1938   12.67  2008
     7.2  1999     7.8  1939     9.8  1953    12.2  1997    15.5  1970    18.2  1941    19.9  1997    19.6  1949    17.2  1955    13.5  1990     9.7  1917     7.7  1911    7.27  2004   12.16  1912   18.98  1990   13.20  2002   12.65  1933
     7.2  1928     7.5  1946     9.6  2005    12.2  1948    15.4  2000    18.2  1921    19.9  1925    19.6  1932    17.1  2000    13.5  1954     9.6  1946     7.7  1910    7.27  2000   12.15  2008   18.95  2016   13.15  1953   12.64  2000
     7.1  2004     7.4  2004     9.6  1989    12.2  1926    15.4  1956    18.0  1973    19.8  1975    19.4  2012    17.1  1981    13.4  2016     9.6  1931     7.6  1986    7.27  1921   12.14  1960   18.95  2010   13.13  2013   12.63  1943
     7.1  1976     7.4  1935     9.6  1959    12.1  1984    15.3  2009    18.0  1947    19.8  1971    19.4  1996    17.0  2009    13.4  1979     9.6  1928     7.6  1980    7.23  1923   12.10  1921   18.94  1940   13.11  2004   12.63  1934
     7.1  1930     7.3  1980     9.5  1999    12.1  1960    15.3  1937    18.0  1917    19.8  1923    19.3  2009    17.0  1998    13.4  1965     9.5  1920     7.6  1972    7.07  1992   12.02  1998   18.92  2004   13.10  1958   12.60  1998
